,Accident_Index_x,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Accident_Index_y,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,city
1697613,2015200037003,410230.0,283369.0,-1.850908,52.448188,20,3,1,1,2015-12-12,7,17:10,300,E08000025,6,0,6,30,0,-1,-1,0,0,1,4,4,1,0,0,1,2,E01033641,2012100703912,2,1,1,2,31,6,3,0,0,0,0,0,9,1,Birmingham
1697638,2015200037322,411359.0,282881.0,-1.834313,52.443779,20,2,1,1,2015-12-13,1,05:40,300,E08000025,3,41,6,30,0,-1,-1,0,0,0,7,9,2,0,0,1,2,E01009016,2012100708812,1,1,2,2,37,7,3,0,0,0,3,0,11,1,Birmingham
1697642,2015200037364,411365.0,282892.0,-1.834225,52.443878,20,3,2,1,2015-12-12,7,12:30,300,E08000025,6,0,6,30,6,4,6,0,0,-1,1,9,2,0,0,1,2,E01009016,2012100708912,2,3,2,1,30,6,3,0,0,1,0,0,9,-1,Birmingham
1697688,2015200037780,394240.0,290323.0,-2.0863,52.510766,20,3,1,1,2015-12-12,7,21:23,303,E08000027,4,4176,6,30,3,4,4,4177,0,0,4,2,2,0,0,1,1,E01009881,2012100718212,2,1,1,2,43,7,3,0,0,0,0,0,9,-1,
1697701,2015200037902,396212.0,298988.0,-2.057346,52.588681,20,3,2,1,2015-12-13,1,06:41,307,E08000030,6,0,6,30,6,4,6,0,0,0,4,2,2,0,0,1,1,E01010404,2012100720112,1,1,2,2,60,9,3,0,0,0,3,0,11,1,
1697740,2015200038117,408460.0,285276.0,-1.876903,52.465362,20,2,2,3,2015-12-12,7,22:23,300,E08000025,6,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01009365,2012100725512,2,1,1,1,20,4,2,0,0,0,0,0,3,1,Birmingham
1697776,2015200038376,430901.0,274621.0,-1.547577,52.368772,20,3,2,2,2015-12-13,1,20:02,302,E08000026,6,0,6,40,9,4,6,0,0,0,4,1,2,0,0,1,1,E01009671,2012100732812,2,1,1,1,23,5,3,0,0,0,0,0,1,-1,Coventry
1697800,2015200038512,401182.0,286379.0,-1.984026,52.47534,20,3,2,1,2015-12-13,1,13:00,305,E08000028,6,0,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,2,E01009923,2012100737212,1,1,3,1,48,8,2,5,1,0,0,0,0,1,Sandwell
1697840,2015200038751,401472.0,277456.0,-1.979793,52.395122,20,3,1,1,2015-12-12,7,18:39,300,E08000025,6,0,6,30,9,4,6,0,0,4,4,2,2,0,0,1,1,E01009166,2012100742112,2,1,1,1,45,7,3,0,0,0,0,0,9,1,Birmingham
1697915,2015200039392,411486.0,287178.0,-1.832298,52.482406,20,3,2,3,2015-12-13,1,17:03,300,E08000025,6,0,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01009476,2012100753512,2,1,1,2,49,8,3,0,0,0,0,0,9,3,Birmingham
1697963,2015200040625,400542.0,277163.0,-1.993461,52.392489,20,3,2,2,2015-12-13,1,02:13,300,E08000025,6,0,2,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01009165,201211ND04342,1,3,2,1,19,4,3,0,0,1,0,0,9,1,Birmingham
1697965,2015200040658,410792.0,281241.0,-1.842707,52.429047,20,3,2,3,2015-12-12,7,20:00,300,E08000025,6,0,3,30,0,-1,-1,0,0,0,4,9,1,0,0,1,2,E01009035,201211ND04342,2,2,1,1,39,7,3,0,0,0,0,0,9,3,Birmingham
1698017,2015200044054,410758.0,286450.0,-1.843041,52.475876,20,3,1,1,2015-12-13,1,18:00,300,E08000025,6,0,6,30,0,-1,-1,0,0,0,4,7,2,0,0,1,1,E01009343,201211ND10392,2,1,1,1,64,9,3,0,0,0,0,0,9,2,Birmingham
1704627,2015210035666,396369.0,340509.0,-2.055503,52.961935,21,3,2,1,2015-12-12,7,16:20,256,E10000028,3,50,3,70,1,4,3,50,0,0,4,2,2,0,0,1,2,E01029799,2012130152705,2,2,2,2,37,7,3,0,0,1,0,0,9,1,Staffordshire Moorlands
1704628,2015210035673,404230.0,344347.0,-1.938425,52.996433,21,3,1,1,2015-12-12,7,22:23,256,E10000028,4,5417,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01029795,2012130152946,1,1,2,2,33,6,3,0,0,1,0,0,9,1,Staffordshire Moorlands
1704635,2015210035704,423959.0,324193.0,-1.645962,52.814751,21,3,1,1,2015-12-13,1,00:30,251,E10000028,6,5,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,2,E01029426,2012130153316,1,1,3,1,27,6,3,5,9,0,0,0,0,-1,East Staffordshire
1704647,2015210035831,395828.0,354176.0,-2.063739,53.084785,21,3,1,1,2015-12-12,7,01:00,256,E10000028,6,151,6,30,3,4,5,83,-1,-1,7,1,2,-1,-1,2,2,E01029802,2012130154111,1,1,2,1,27,6,3,0,0,2,0,0,9,1,Staffordshire Moorlands
1704651,2015210035863,406300.0,332240.0,-1.907815,52.88758,21,3,3,1,2015-12-12,7,16:10,251,E10000028,3,518,6,60,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01029405,2012130154303,1,1,3,1,20,4,2,8,1,0,0,0,0,-1,East Staffordshire
1704655,2015210035928,383452.0,349019.0,-2.24824,53.038186,21,3,2,1,2015-12-12,7,19:11,253,E10000028,4,5500,6,30,8,4,6,0,0,0,4,2,2,0,0,1,2,E01029560,2012130154670,1,1,2,2,28,6,3,0,0,0,0,0,90,1,
1704658,2015210035969,389020.0,346793.0,-2.165125,53.018321,21,3,5,1,2015-12-13,1,10:55,257,E06000021,3,52,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,2,E01033216,2012130154835,2,2,2,1,28,6,3,0,0,2,0,0,9,1,Stoke-on-Trent
1704664,2015210036052,405228.0,309177.0,-1.924107,52.680267,21,3,1,1,2015-12-12,7,17:25,252,E10000028,3,5190,6,30,0,-1,-1,0,0,0,4,5,2,0,1,1,2,E01029528,2012130155123,2,2,2,2,42,7,3,0,0,1,0,0,9,-1,Lichfield
1704674,2015210036234,377705.0,352373.0,-2.33418,53.068125,21,3,2,1,2015-12-12,7,03:50,253,E10000028,3,500,1,30,1,2,1,6,0,0,4,1,2,0,0,2,2,E01029532,2012130155908,2,1,1,2,79,11,3,0,0,0,0,0,9,2,
1704701,2015210036575,397777.0,315009.0,-2.034359,52.732713,21,3,2,1,2015-12-13,1,11:25,254,E10000028,5,32,6,60,0,-1,-1,0,-1,-1,1,5,2,-1,-1,2,2,E01029646,2012130157336,1,3,2,2,22,5,3,0,0,1,0,0,9,1,Cannock Chase
1704806,2015210042623,388597.0,350531.0,-2.171564,53.051913,21,2,1,1,2015-12-13,1,05:10,257,E06000021,6,0,6,30,0,-1,-1,0,2,0,4,1,1,0,0,1,2,E01014268,2012130167510,1,2,2,1,1,1,3,0,0,0,4,0,11,1,Stoke-on-Trent
1705713,2015220036843,363047.0,318106.0,-2.549015,52.759288,22,3,2,4,2015-12-12,7,16:40,284,E06000020,3,442,6,40,6,4,4,5062,0,0,6,2,2,0,0,2,1,E01014135,2012130231524,1,2,2,1,45,7,3,0,0,0,0,0,19,-1,
1705737,2015220037308,388469.0,255570.0,-2.170126,52.19824,22,3,1,1,2015-12-12,7,22:15,276,E10000034,6,0,6,30,0,-1,-1,0,0,0,4,9,1,0,0,1,2,E01032339,2012130233424,1,1,3,1,35,6,2,10,9,0,0,0,0,-1,Worcester
1705740,2015220037389,369725.0,309391.0,-2.449257,52.681363,22,3,2,1,2015-12-12,7,11:10,284,E06000020,4,5072,1,30,1,2,3,5,0,0,1,8,2,0,0,2,2,E01014157,2012130233526,2,2,1,1,39,7,2,0,0,0,0,0,9,1,
1705889,2015220039935,353578.0,318414.0,-2.689362,52.761323,22,3,1,1,2015-12-12,7,16:52,286,E06000051,3,53,6,60,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01028959,2012130244241,1,1,2,1,87,11,3,0,0,0,2,0,11,1,
1705892,2015220039967,348964.0,312612.0,-2.756826,52.708753,22,3,2,1,2015-12-13,1,00:15,286,E06000051,6,0,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01028946,2012130244446,2,2,2,2,17,4,3,0,0,1,0,0,9,2,
1705897,2015220040013,384081.0,273624.0,-2.235184,52.360439,22,3,2,3,2015-12-12,7,13:00,277,E10000034,3,449,6,40,3,4,6,0,0,0,1,2,2,0,0,1,2,E01032387,2012130244805,1,1,1,1,42,7,2,0,0,0,0,0,5,1,Wyre Forest
1705947,2015220041462,358803.0,224395.0,-2.600376,51.916549,22,3,1,1,2015-12-12,7,20:43,285,E06000019,3,40,1,70,1,4,3,49,0,0,4,2,2,0,0,2,1,E01014049,2012130248530,1,1,1,1,78,11,3,0,0,0,0,0,9,1,
1705948,2015220041488,368562.0,309462.0,-2.466466,52.681934,22,3,2,3,2015-12-12,7,15:25,284,E06000020,6,0,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01014158,2012130248782,1,1,3,1,43,7,3,10,8,0,0,0,0,1,
1705959,2015220042126,368129.0,310175.0,-2.47294,52.688318,22,3,2,3,2015-12-13,1,15:00,284,E06000020,1,54,3,70,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01014150,2012130250258,1,1,1,1,42,7,3,0,0,0,0,0,9,1,
1705977,2015220054494,350684.0,238961.0,-2.720509,52.046836,22,3,2,2,2015-12-13,1,18:14,285,E06000019,3,49,6,30,9,4,6,0,0,0,1,1,2,0,0,1,2,E01014070,2012130251571,1,1,1,1,22,5,3,0,0,0,0,0,9,-1,
1708001,2015230038691,430262.0,307811.0,-1.553953,52.667173,23,3,1,1,2015-12-12,7,22:17,290,E10000031,6,0,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01031036,2012130396547,1,1,3,1,18,4,2,10,9,0,0,0,0,1,North Warwickshire
1708057,2015230039877,431485.0,265480.0,-1.539853,52.286562,23,3,2,1,2015-12-12,7,11:15,294,E10000031,3,452,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,2,E01031291,2012130399839,1,1,1,1,9,2,3,0,0,0,0,0,1,1,
1708156,2015230041271,448518.0,273841.0,-1.288965,52.360487,23,3,2,3,2015-12-12,7,14:26,292,E10000031,4,4642,6,30,0,-1,-1,0,0,0,1,5,2,0,0,1,2,E01031136,2012130407441,2,1,1,1,49,8,3,0,0,0,0,0,1,1,
1708157,2015230041279,431586.0,266242.0,-1.538302,52.293406,23,3,1,1,2015-12-12,7,19:34,294,E10000031,6,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01033253,2012130407454,1,1,1,2,43,7,3,0,0,0,0,0,9,1,
1708159,2015230041302,408860.0,267847.0,-1.871471,52.308667,23,3,1,1,2015-12-13,1,15:10,293,E10000031,3,4023,7,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,E01031213,2012130407492,2,1,1,1,32,6,3,0,0,0,0,0,1,2,Stratford-on-Avon
1708161,2015230041309,432143.0,247355.0,-1.531922,52.123579,23,3,1,1,2015-12-12,7,15:45,293,E10000031,3,422,6,60,0,-1,-1,0,0,0,1,5,2,0,0,2,1,E01031247,2012130407530,1,2,2,2,60,9,2,0,0,1,0,0,9,1,Stratford-on-Avon
1708162,2015230041324,433503.0,275037.0,-1.509322,52.372359,23,3,1,2,2015-12-12,7,09:00,294,E10000031,3,46,3,70,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01031308,2012130407649,2,1,1,2,23,5,3,0,0,0,0,0,9,1,
1708173,2015230041513,427905.0,254523.0,-1.593235,52.18825,23,2,1,1,2015-12-12,7,19:37,293,E10000031,3,429,6,30,3,4,6,0,0,0,4,5,2,0,0,2,1,E01031250,2012130408333,2,2,1,1,32,6,3,0,0,0,0,0,9,1,Stratford-on-Avon
1708207,2015230043786,451872.0,276077.0,-1.239372,52.38028,23,2,1,1,2015-12-12,7,00:50,292,E10000031,6,0,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01031130,2012130410025,1,1,1,2,21,5,3,0,0,0,0,0,9,1,
1711434,2015300017110,445190.0,381130.0,-1.323001,53.325169,30,3,2,1,2015-12-12,7,10:10,327,E10000007,4,6058,1,30,1,4,6,0,0,1,1,2,2,0,0,1,1,E01019806,201214A140512,2,1,1,1,9,2,3,0,0,0,0,0,1,1,North East Derbyshire
1711435,2015300017113,436630.0,337130.0,-1.456519,52.930332,30,3,2,2,2015-12-12,7,18:50,323,E06000015,6,0,1,30,2,4,6,0,0,0,4,2,2,0,0,1,1,E01013535,201214A140612,1,1,2,2,67,10,3,0,0,0,2,0,11,3,Derby
1711436,2015300017117,406900.0,379900.0,-1.897891,53.315988,30,3,1,2,2015-12-12,7,17:30,325,E10000007,6,0,6,30,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01019741,201214A140812,2,1,1,2,47,8,3,0,0,0,0,0,9,2,High Peak
1711437,2015300017122,403560.0,394060.0,-1.947871,53.443299,30,3,4,1,2015-12-13,1,11:09,325,E10000007,3,57,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01019739,201214A141112,1,2,2,2,74,10,3,0,0,1,0,0,9,1,High Peak
1711438,2015300017124,421880.0,368570.0,-1.673816,53.213744,30,3,1,1,2015-12-13,1,14:00,329,E10000007,6,0,6,30,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01019600,201214A141112,2,1,1,2,50,8,3,0,0,0,0,0,9,1,Derbyshire Dales
1711439,2015300017126,436340.0,366620.0,-1.457515,53.195427,30,3,2,3,2015-12-13,1,16:35,327,E10000007,5,21,6,60,0,-1,-1,0,0,0,6,7,2,0,0,2,1,E01019772,201214A141112,2,3,2,2,28,6,3,0,0,1,0,0,9,1,North East Derbyshire
1711440,2015300017127,438250.0,373830.0,-1.428065,53.2601,30,3,1,1,2015-12-13,1,19:42,322,E10000007,3,61,3,60,0,-1,-1,0,0,0,4,2,2,6,0,1,1,E01019542,201214A141312,2,1,1,2,29,6,3,0,0,0,0,0,9,1,Chesterfield
1711441,2015300017128,436290.0,338430.0,-1.461432,52.94204,30,3,3,1,2015-12-13,1,09:20,323,E06000015,3,608,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013531,201214A141912,1,1,1,2,21,5,3,0,0,0,0,0,9,2,Derby
1711442,2015300017129,437610.0,337060.0,-1.441949,52.929635,30,3,2,1,2015-12-13,1,23:25,323,E06000015,6,0,6,30,8,4,6,0,0,0,4,8,2,0,0,1,1,E01013537,201214A142012,1,1,3,1,9,2,3,5,3,0,0,0,0,1,Derby
1711446,2015300017137,435250.0,377840.0,-1.472592,53.29635,30,3,1,2,2015-12-13,1,17:20,327,E10000007,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01019783,201214A142412,2,2,1,1,27,6,3,0,0,0,0,0,9,1,North East Derbyshire
1711547,2015300017447,442330.0,352830.0,-1.369677,53.071035,30,3,2,1,2015-12-12,7,21:55,320,E10000007,4,6016,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01019443,201214A157412,2,1,1,1,50,8,3,0,0,0,0,0,9,1,Amber Valley
1712028,201531A266915,449441.0,352116.0,-1.263664,53.064009,31,3,2,1,2015-12-12,7,12:56,340,E10000024,3,608,3,70,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01027995,201214B044212,1,1,1,1,28,6,3,0,0,0,0,0,5,1,Ashfield
1712032,201531A271815,446946.0,359262.0,-1.299851,53.128464,31,3,1,1,2015-12-12,7,17:40,340,E10000024,4,6026,6,30,0,-1,-1,0,0,1,4,5,2,0,0,1,1,E01027987,201214B045312,1,2,2,2,13,3,3,0,0,1,0,0,9,1,Ashfield
1712053,201531A279915,450403.0,360241.0,-1.248038,53.136948,31,2,1,1,2015-12-12,7,17:20,340,E10000024,6,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01027984,201214B049512,4,4,1,1,42,7,3,0,0,0,0,0,9,1,Ashfield
1712055,201531A283015,456062.0,361067.0,-1.163313,53.143808,31,3,2,1,2015-12-13,1,18:47,344,E10000024,6,0,6,30,6,4,6,0,0,0,4,7,2,0,0,1,1,E01028236,201214B050112,1,1,1,1,43,7,3,0,0,0,0,0,21,3,Mansfield
1712642,201531B273715,480136.0,353421.0,-0.805379,53.072022,31,3,3,1,2015-12-13,1,14:00,345,E10000024,4,6326,6,30,6,2,6,0,0,5,1,1,2,0,0,1,2,E01028335,201214C030112,1,1,2,2,27,6,3,0,0,1,0,0,9,1,Newark and Sherwood
1712669,201531B290615,462377.0,352290.0,-1.070617,53.064222,31,2,1,2,2015-12-12,7,16:30,345,E10000024,3,6097,3,50,0,-1,-1,0,0,0,1,5,2,0,0,2,1,E01028327,201214C033412,1,1,1,2,53,8,3,0,0,0,0,0,9,1,Newark and Sherwood
1713601,201531C284615,458092.0,340848.0,-1.136607,52.961862,31,3,1,1,2015-12-13,1,20:51,346,E06000018,6,0,6,30,0,-1,-1,0,0,8,4,1,2,0,0,1,1,E01013960,201214K057312,1,1,1,1,59,9,2,0,0,0,0,0,9,1,City of Nottingham
1714240,201531D273615,459520.0,330517.0,-1.11724,52.868848,31,3,2,1,2015-12-13,1,21:50,347,E10000024,6,0,6,50,3,4,6,0,0,0,6,1,2,0,0,2,1,E01028409,201214K183512,2,6,2,2,-1,-1,3,0,0,2,0,0,9,1,Rushcliffe
1714260,201531D282215,458061.0,343585.0,-1.136578,52.986466,31,2,1,1,2015-12-13,1,16:03,343,E10000024,6,0,6,30,0,-1,-1,0,0,0,4,5,2,0,0,1,1,E01028217,201214K186012,2,5,2,2,15,3,3,0,0,0,2,0,11,1,City of Nottingham
1714269,201531D285415,459205.0,343484.0,-1.119558,52.985433,31,3,2,1,2015-12-13,1,16:20,343,E10000024,4,684,6,30,3,2,6,0,0,5,4,2,2,0,0,1,1,E01028193,201214K189412,1,1,3,1,50,8,3,9,9,0,0,0,0,1,Gedling
1716346,2015320135619,525679.0,386885.0,-0.112783,53.363902,32,3,1,1,2015-12-12,7,07:25,351,E10000019,3,157,6,60,3,4,5,551,0,0,6,9,2,0,0,2,1,E01026045,2012160B04151,3,3,1,1,54,8,2,0,0,0,0,0,19,2,East Lindsey
1716347,2015320135672,519450.0,344253.0,-0.222246,52.982316,32,3,1,1,2015-12-12,7,07:45,353,E10000019,3,17,6,50,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01026200,2012160B04151,3,7,3,1,52,8,3,10,6,0,0,0,0,1,North Kesteven
1716348,2015320135728,497614.0,370616.0,-0.539361,53.223633,32,3,2,1,2015-12-12,7,14:50,352,E10000019,6,900,6,30,9,4,6,927,0,0,1,2,2,0,0,1,2,E01026176,2012160B04151,3,13,3,2,49,8,3,10,6,0,0,0,0,1,Lincoln
1716349,2015320135849,529671.0,335600.0,-0.073552,52.902203,32,2,4,2,2015-12-12,7,16:46,350,E10000019,3,16,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01026017,2012160B04151,4,4,1,1,39,7,3,0,0,0,0,0,9,1,Boston
1716350,2015320135850,489215.0,380289.0,-0.662415,53.312033,32,3,2,2,2015-12-12,7,18:15,356,E10000019,3,1500,6,60,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01026404,2012160B04151,5,10,2,2,28,6,3,0,0,1,0,0,9,1,West Lindsey
1716351,2015320135979,514846.0,360566.0,-0.284977,53.129895,32,3,1,1,2015-12-12,7,15:03,353,E10000019,4,1191,6,60,0,-1,-1,0,0,0,1,5,2,0,0,2,1,E01026210,2012160B04151,6,5,1,1,33,6,3,0,0,0,0,0,9,3,North Kesteven
1716352,2015320136014,489443.0,380214.0,-0.659015,53.31132,32,3,1,1,2015-12-13,1,07:15,356,E10000019,3,1500,6,30,0,-1,-1,0,0,0,6,7,4,0,0,2,1,E01026404,2012160B04161,1,1,2,1,22,5,3,0,0,1,0,0,9,1,West Lindsey
1716353,2015320136160,524484.0,339405.0,-0.149168,52.937615,32,3,2,5,2015-12-13,1,13:36,350,E10000019,3,52,6,60,6,4,4,1391,0,0,1,2,2,0,0,2,1,E01026034,2012160B04171,1,1,1,2,36,7,3,0,0,0,0,0,9,2,Boston
1716354,2015320136170,509616.0,321373.0,-0.376353,52.778822,32,3,2,1,2015-12-12,7,07:42,355,E10000019,3,15,6,30,0,-1,-1,0,1,4,4,1,2,0,0,1,1,E01026300,2012160B04181,1,1,1,1,28,6,3,0,0,0,0,0,9,1,South Kesteven
1716359,2015320136939,495031.0,372591.0,-0.577449,53.241849,32,3,2,1,2015-12-13,1,09:05,352,E10000019,3,46,3,70,0,-1,-1,0,0,0,1,8,4,0,0,2,1,E01026147,2012160B04221,1,1,2,2,1,1,3,0,0,0,4,0,11,3,Lincoln
1716386,2015320140073,497444.0,353473.0,-0.547115,53.069617,32,3,2,1,2015-12-13,1,11:30,353,E10000019,5,307,6,60,3,4,5,53,0,0,1,7,2,0,0,2,1,E01026196,2012160B04421,1,1,1,2,47,8,3,0,0,0,0,0,9,3,North Kesteven
1718179,2015331501908,498580.0,310170.0,-0.543264,52.68027,33,1,2,1,2015-12-12,7,14:14,368,E06000017,3,1,3,70,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01013805,2012160D04431,1,2,3,1,69,10,3,5,3,0,0,0,0,1,
1718270,2015331502005,463019.0,305971.0,-1.069978,52.647823,33,3,2,2,2015-12-12,7,21:35,364,E06000016,3,563,6,30,3,4,6,1022,0,4,4,2,2,0,0,1,2,E01013696,2012160D05191,3,1,1,1,26,6,3,0,0,0,0,0,9,1,Leicester
1718294,2015331502029,442844.0,294591.0,-1.369621,52.54749,33,2,2,2,2015-12-12,7,09:20,361,E10000018,4,4667,6,30,6,2,6,6335,0,5,1,2,2,0,0,1,1,E01025858,2012160D05401,1,2,2,1,23,5,3,0,0,0,0,0,19,1,Hinckley and Bosworth
1718297,2015331502032,460512.0,303918.0,-1.107404,52.629654,33,3,2,1,2015-12-12,7,14:20,364,E06000016,6,2890,2,30,3,4,4,6416,0,5,1,2,2,0,0,1,2,E01013752,2012160D05421,1,1,3,2,24,5,2,4,3,0,0,0,0,1,Leicester
1718298,2015331502033,458433.0,304877.0,-1.137947,52.638502,33,3,1,1,2015-12-13,1,11:55,364,E06000016,6,1147,2,30,3,2,3,594,0,5,1,9,1,0,0,1,2,E01013607,2012160D05441,1,1,1,2,21,5,3,0,0,0,0,0,9,3,Leicester
1718299,2015331502034,462172.0,305331.0,-1.082616,52.642168,33,3,2,1,2015-12-13,1,20:50,364,E06000016,5,1357,6,30,3,4,6,1039,0,0,4,2,2,0,0,1,1,E01013771,2012160D05451,1,1,3,2,58,9,2,8,2,0,0,0,0,1,Leicester
1718332,2015331502068,458731.0,305074.0,-1.133508,52.64024,33,2,3,2,2015-12-13,1,11:26,364,E06000016,3,594,3,30,6,2,6,29,0,5,1,2,2,0,0,1,1,E01032867,2012160D05731,1,1,1,2,41,7,3,0,0,0,0,0,9,2,Leicester
1718344,2015331502080,438391.0,314931.0,-1.432927,52.730663,33,2,1,1,2015-12-12,7,21:30,366,E10000018,5,7110,6,60,0,-1,-1,0,0,0,6,2,2,0,0,2,1,E01025956,2012160D05811,1,3,1,2,43,7,3,0,0,0,0,0,9,2,North West Leicestershire
1718345,2015331502081,447202.0,316901.0,-1.302176,52.747676,33,3,2,1,2015-12-12,7,09:40,362,E10000018,5,7207,6,60,6,4,5,7204,0,0,1,5,2,0,0,2,1,E01025744,2012160D05811,2,1,1,2,25,5,3,0,0,0,0,0,9,1,Charnwood
1718347,2015331502084,442672.0,307918.0,-1.370443,52.667303,33,3,3,1,2015-12-12,7,16:48,361,E10000018,4,585,6,60,0,-1,-1,0,0,0,6,5,2,0,0,2,1,E01025819,2012160D05821,2,1,1,1,22,5,3,0,0,0,0,0,1,1,Hinckley and Bosworth
1718417,2015331502161,443334.0,291075.0,-1.362853,52.515845,33,3,2,1,2015-12-12,7,16:15,361,E10000018,3,5,6,60,1,2,3,5,0,0,4,1,1,0,0,2,1,E01025832,2012160D06371,2,1,1,2,37,7,3,0,0,0,0,0,4,1,Hinckley and Bosworth
1718432,2015331502179,432143.0,318713.0,-1.525077,52.765066,33,2,1,1,2015-12-12,7,01:20,366,E10000018,6,8707,6,30,8,4,6,6,0,8,4,1,2,0,0,1,1,E01025952,2012160D06501,2,1,1,2,68,10,3,0,0,0,0,0,1,1,North West Leicestershire
1718674,2015331505795,459315.0,304030.0,-1.125066,52.630793,33,3,2,1,2015-12-12,7,20:00,364,E06000016,3,6,6,30,0,-1,-1,0,0,0,7,1,1,0,0,1,2,E01013646,2012160D08691,2,1,1,1,51,8,3,0,0,0,0,0,1,1,Leicester
1719033,201534NK32205,488719.0,281173.0,-0.696824,52.421361,34,3,1,1,2015-12-12,7,10:45,383,E10000021,3,43,1,60,1,4,3,43,0,0,1,2,2,0,0,2,3,E01027090,2012170L20902,2,1,1,1,59,9,3,0,0,0,0,0,9,1,
1719163,201534NW31915,489768.0,268404.0,-0.684815,52.306426,34,2,3,1,2015-12-12,7,23:54,386,E10000021,6,9400,6,30,6,4,6,9427,0,0,4,2,2,0,0,1,1,E01027313,2012170L31902,1,1,1,1,83,11,3,0,0,0,0,0,9,1,
1719229,201534TM32325,475554.0,254653.0,-0.896313,52.184959,34,3,2,1,2015-12-13,1,06:45,385,E10000021,3,508,1,70,1,2,1,1,0,0,7,1,2,0,0,2,3,E01032985,2012170L51172,1,1,3,1,5,1,3,5,1,0,0,0,0,2,
1719230,201534TM32395,475545.0,254815.0,-0.896409,52.186417,34,2,3,2,2015-12-13,1,18:20,385,E10000021,1,1,3,70,0,-1,-1,0,0,0,6,1,2,0,0,2,1,E01032985,2012170L51172,1,2,3,1,10,2,3,5,1,0,0,0,0,2,
1719402,201534WD32215,456531.0,268289.0,-1.172243,52.309812,34,3,1,1,2015-12-13,1,09:16,381,E10000021,3,361,6,60,0,-1,-1,0,0,0,1,2,2,0,0,2,1,E01026994,2012170M11852,1,1,1,2,30,6,3,0,0,0,0,0,9,1,
1719831,201534WN31925,477316.0,259814.0,-0.86937,52.231106,34,3,2,1,2015-12-13,1,00:15,384,E10000021,3,428,1,30,1,2,3,5095,0,0,4,2,2,0,0,2,1,E01027257,2012170S12012,2,1,1,2,28,6,3,0,0,0,0,0,1,1,
1719833,201534WN32115,474335.0,258172.0,-0.913369,52.216756,34,3,1,1,2015-12-13,1,07:30,384,E10000021,3,5076,1,50,1,2,3,5076,0,7,1,2,2,0,0,1,1,E01027160,2012170S12032,1,1,3,1,4,1,2,1,3,0,0,0,0,1,
1719840,201534WN32405,475256.0,262116.0,-0.899014,52.252083,34,3,2,3,2015-12-13,1,01:10,384,E10000021,3,508,6,30,6,2,3,5095,0,4,4,2,2,0,0,1,1,E01027191,2012170S12122,2,1,1,1,68,10,3,0,0,0,0,0,5,1,
